0f10c4|umov ah,al
0f10c5|umov ch,al
0f10c6|umov dh,al
0f10c7|umov bh,al
0f10c8|umov al,cl
0f10c9|umov cl,cl
0f10ca|umov dl,cl
0f10cb|umov bl,cl
0f10cc|umov ah,cl
0f10cd|umov ch,cl
0f10ce|umov dh,cl
0f10cf|umov bh,cl
0f10d0|umov al,dl
0f10d1|umov cl,dl
0f10d2|umov dl,dl
0f10d3|umov bl,dl
0f10d4|umov ah,dl
0f10d5|umov ch,dl
0f10d6|umov dh,dl
0f10d7|umov bh,dl
0f10d8|umov al,bl
0f10d9|umov cl,bl
0f10da|umov dl,bl
0f10db|umov bl,bl
0f10dc|umov ah,bl
0f10dd|umov ch,bl
0f10de|umov dh,bl
0f10df|umov bh,bl
0f10e0|umov al,ah
0f10e1|umov cl,ah
0f10e2|umov dl,ah
0f10e3|umov bl,ah
0f10e4|umov ah,ah
0f10e5|umov ch,ah
0f10e6|umov dh,ah
0f10e7|umov bh,ah
0f10e8|umov al,ch
0f10e9|umov cl,ch
0f10ea|umov dl,ch
0f10eb|umov bl,ch
0f10ec|umov ah,ch
0f10ed|umov ch,ch
0f10ee|umov dh,ch
0f10ef|umov bh,ch
0f10f0|umov al,dh
0f10f1|umov cl,dh
0f10f2|umov dl,dh
0f10f3|umov bl,dh
0f10f4|umov ah,dh
0f10f5|umov ch,dh
0f10f6|umov dh,dh
0f10f7|umov bh,dh
0f10f8|umov al,bh
0f10f9|umov cl,bh
0f10fa|umov dl,bh
0f10fb|umov bl,bh
0f10fc|umov ah,bh
0f10fd|umov ch,bh
0f10fe|umov dh,bh
0f10ff|umov bh,bh
0f1103|umov [ebx],eax
0f110424|umov [esp],eax
0f110500000000|umov [0x0],eax
0f1106|umov [esi],eax
0f1107|umov [edi],eax
0f110b|umov [ebx],ecx
0f110c24|umov [esp],ecx
0f110d00000000|umov [0x0],ecx
0f110e|umov [esi],ecx
0f110f|umov [edi],ecx
0f111b|umov [ebx],ebx
0f111c24|umov [esp],ebx
0f111d00000000|umov [0x0],ebx
0f111e|umov [esi],ebx
0f111f|umov [edi],ebx
0f1123|umov [ebx],esp
0f112424|umov [esp],esp
0f112500000000|umov [0x0],esp
0f1126|umov [esi],esp
0f1127|umov [edi],esp
0f112b|umov [ebx],ebp
0f112c24|umov [esp],ebp
0f112d00000000|umov [0x0],ebp
0f112e|umov [esi],ebp
0f112f|umov [edi],ebp
0f1133|umov [ebx],esi
0f113424|umov [esp],esi
0f113500000000|umov [0x0],esi
0f1136|umov [esi],esi
0f1137|umov [edi],esi
0f113b|umov [ebx],edi
0f113c24|umov [esp],edi
0f113d00000000|umov [0x0],edi
0f113e|umov [esi],edi
0f113f|umov [edi],edi
0f114500|umov [ebp],eax
0f114d00|umov [ebp],ecx
0f115d00|umov [ebp],ebx
0f116500|umov [ebp],esp
0f116d00|umov [ebp],ebp
0f117500|umov [ebp],esi
0f117d00|umov [ebp],edi
0f11c0|umov eax,eax
0f11c1|umov ecx,eax
0f11c3|umov ebx,eax
0f11c4|umov esp,eax
0f11c5|umov ebp,eax
0f11c6|umov esi,eax
0f11c7|umov edi,eax
0f11c8|umov eax,ecx
0f11c9|umov ecx,ecx
0f11cb|umov ebx,ecx
0f11cc|umov esp,ecx
