0f10ff|umov bh,bh
0f1104|umov [si],ax
0f1105|umov [di],ax
0f11060000|umov [0x0],ax
0f1107|umov [bx],ax
0f110c|umov [si],cx
0f110d|umov [di],cx
0f110e0000|umov [0x0],cx
0f110f|umov [bx],cx
0f1114|umov [si],dx
0f1115|umov [di],dx
0f11160000|umov [0x0],dx
0f1117|umov [bx],dx
0f111c|umov [si],bx
0f111d|umov [di],bx
0f111e0000|umov [0x0],bx
0f111f|umov [bx],bx
0f1124|umov [si],sp
0f1125|umov [di],sp
0f11260000|umov [0x0],sp
0f1127|umov [bx],sp
0f112c|umov [si],bp
0f112d|umov [di],bp
0f112e0000|umov [0x0],bp
0f112f|umov [bx],bp
0f1134|umov [si],si
0f1135|umov [di],si
0f11360000|umov [0x0],si
0f1137|umov [bx],si
0f113c|umov [si],di
0f113d|umov [di],di
0f113e0000|umov [0x0],di
0f113f|umov [bx],di
0f114600|umov [bp],ax
0f114e00|umov [bp],cx
0f115600|umov [bp],dx
0f115e00|umov [bp],bx
0f116600|umov [bp],sp
0f116e00|umov [bp],bp
0f117600|umov [bp],si
0f117e00|umov [bp],di
0f11c0|umov ax,ax
0f11c1|umov cx,ax
0f11c2|umov dx,ax
0f11c3|umov bx,ax
0f11c4|umov sp,ax
0f11c5|umov bp,ax
0f11c6|umov si,ax
0f11c7|umov di,ax
0f11c8|umov ax,cx
0f11c9|umov cx,cx
0f11ca|umov dx,cx
0f11cb|umov bx,cx
0f11cc|umov sp,cx
0f11cd|umov bp,cx
0f11ce|umov si,cx
0f11cf|umov di,cx
0f11d0|umov ax,dx
0f11d1|umov cx,dx
0f11d2|umov dx,dx
0f11d3|umov bx,dx
0f11d4|umov sp,dx
0f11d5|umov bp,dx
0f11d6|umov si,dx
0f11d7|umov di,dx
0f11d8|umov ax,bx
0f11d9|umov cx,bx
0f11da|umov dx,bx
0f11db|umov bx,bx
0f11dc|umov sp,bx
0f11dd|umov bp,bx
0f11de|umov si,bx
0f11df|umov di,bx
0f11e0|umov ax,sp
0f11e1|umov cx,sp
0f11e2|umov dx,sp
0f11e3|umov bx,sp
0f11e4|umov sp,sp
0f11e5|umov bp,sp
0f11e6|umov si,sp
0f11e7|umov di,sp
0f11e8|umov ax,bp
0f11e9|umov cx,bp
0f11ea|umov dx,bp
0f11eb|umov bx,bp
0f11ec|umov sp,bp
0f11ed|umov bp,bp
0f11ee|umov si,bp
0f11ef|umov di,bp
0f11f0|umov ax,si
0f11f1|umov cx,si
0f11f2|umov dx,si
0f11f3|umov bx,si
0f11f4|umov sp,si
0f11f5|umov bp,si
0f11f6|umov si,si
0f11f7|umov di,si
0f11f8|umov ax,di
0f11f9|umov cx,di
0f11fa|umov dx,di
0f11fb|umov bx,di
0f11fc|umov sp,di
0f11fd|umov bp,di
0f11fe|umov si,di
0f11ff|umov di,di
0f1204|umov al,[si]
0f1205|umov al,[di]
0f12060000|umov al,[0x0]
0f1207|umov al,[bx]
0f120c|umov cl,[si]
0f120d|umov cl,[di]
0f120e0000|umov cl,[0x0]
0f120f|umov cl,[bx]
0f1214|umov dl,[si]
0f1215|umov dl,[di]
0f12160000|umov dl,[0x0]
0f1217|umov dl,[bx]
